stepno=   46, timepoints=2.816000e+03, conv=0, iters=26, x=7.102613e-01 6.725190e-01 1.000000e+01 6.634944e-01 1.500000e+00 1.000000e+01 -4.644866e-03 -2.085004e-03 
stepno=   47, timepoints=2.886400e+03, conv=0, iters=26, x=7.102651e-01 6.725198e-01 1.000000e+01 6.665705e-01 1.500000e+00 1.000000e+01 -4.644864e-03 -2.084707e-03 
stepno=   48, timepoints=2.956800e+03, conv=0, iters=26, x=7.102686e-01 6.725206e-01 1.000000e+01 6.694445e-01 1.500000e+00 1.000000e+01 -4.644863e-03 -2.084429e-03 
stepno=   49, timepoints=3.027200e+03, conv=0, iters=26, x=7.102719e-01 6.725213e-01 1.000000e+01 6.721297e-01 1.500000e+00 1.000000e+01 -4.644861e-03 -2.084169e-03 
stepno=   50, timepoints=3.097600e+03, conv=0, iters=26, x=7.102750e-01 6.725220e-01 1.000000e+01 6.746385e-01 1.500000e+00 1.000000e+01 -4.644859e-03 -2.083927e-03 
stepno=   51, timepoints=3.168000e+03, conv=0, iters=26, x=7.102779e-01 6.725227e-01 1.000000e+01 6.769825e-01 1.500000e+00 1.000000e+01 -4.644858e-03 -2.083700e-03 
stepno=   52, timepoints=3.238400e+03, conv=0, iters=26, x=7.102806e-01 6.725233e-01 1.000000e+01 6.791725e-01 1.500000e+00 1.000000e+01 -4.644857e-03 -2.083488e-03 
stepno=   53, timepoints=3.308800e+03, conv=0, iters=26, x=7.102832e-01 6.725238e-01 1.000000e+01 6.812187e-01 1.500000e+00 1.000000e+01 -4.644855e-03 -2.083291e-03 
stepno=   54, timepoints=3.379200e+03, conv=0, iters=26, x=7.102855e-01 6.725244e-01 1.000000e+01 6.831304e-01 1.500000e+00 1.000000e+01 -4.644854e-03 -2.083106e-03 
stepno=   55, timepoints=3.449600e+03, conv=0, iters=26, x=7.102877e-01 6.725248e-01 1.000000e+01 6.849165e-01 1.500000e+00 1.000000e+01 -4.644853e-03 -2.082933e-03 
stepno=   56, timepoints=3.520000e+03, conv=0, iters=26, x=7.102898e-01 6.725253e-01 1.000000e+01 6.865853e-01 1.500000e+00 1.000000e+01 -4.644852e-03 -2.082772e-03 
stepno=   57, timepoints=3.590400e+03, conv=0, iters=26, x=7.102917e-01 6.725257e-01 1.000000e+01 6.881445e-01 1.500000e+00 1.000000e+01 -4.644851e-03 -2.082621e-03 
stepno=   58, timepoints=3.660800e+03, conv=0, iters=26, x=7.102935e-01 6.725261e-01 1.000000e+01 6.896012e-01 1.500000e+00 1.000000e+01 -4.644850e-03 -2.082480e-03 
stepno=   59, timepoints=3.731200e+03, conv=0, iters=26, x=7.102952e-01 6.725265e-01 1.000000e+01 6.909623e-01 1.500000e+00 1.000000e+01 -4.644849e-03 -2.082349e-03 
stepno=   60, timepoints=3.801600e+03, conv=0, iters=26, x=7.102968e-01 6.725269e-01 1.000000e+01 6.922339e-01 1.500000e+00 1.000000e+01 -4.644849e-03 -2.082226e-03 
stepno=   61, timepoints=3.872000e+03, conv=0, iters=26, x=7.102983e-01 6.725272e-01 1.000000e+01 6.934220e-01 1.500000e+00 1.000000e+01 -4.644848e-03 -2.082111e-03 
stepno=   62, timepoints=3.942400e+03, conv=0, iters=26, x=7.102996e-01 6.725275e-01 1.000000e+01 6.945320e-01 1.500000e+00 1.000000e+01 -4.644847e-03 -2.082004e-03 
stepno=   63, timepoints=4.012800e+03, conv=0, iters=26, x=7.103009e-01 6.725278e-01 1.000000e+01 6.955691e-01 1.500000e+00 1.000000e+01 -4.644846e-03 -2.081904e-03 
stepno=   64, timepoints=4.083200e+03, conv=0, iters=26, x=7.103021e-01 6.725280e-01 1.000000e+01 6.965381e-01 1.500000e+00 1.000000e+01 -4.644846e-03 -2.081810e-03 
stepno=   65, timepoints=4.153600e+03, conv=0, iters=26, x=7.103032e-01 6.725283e-01 1.000000e+01 6.974435e-01 1.500000e+00 1.000000e+01 -4.644845e-03 -2.081722e-03 
stepno=   66, timepoints=4.224000e+03, conv=0, iters=26, x=7.103043e-01 6.725285e-01 1.000000e+01 6.982893e-01 1.500000e+00 1.000000e+01 -4.644845e-03 -2.081641e-03 
stepno=   67, timepoints=4.294400e+03, conv=0, iters=26, x=7.103053e-01 6.725287e-01 1.000000e+01 6.990796e-01 1.500000e+00 1.000000e+01 -4.644844e-03 -2.081564e-03 
stepno=   68, timepoints=4.364800e+03, conv=0, iters=26, x=7.103062e-01 6.725289e-01 1.000000e+01 6.998180e-01 1.500000e+00 1.000000e+01 -4.644844e-03 -2.081493e-03 
stepno=   69, timepoints=4.435200e+03, conv=0, iters=26, x=7.103070e-01 6.725291e-01 1.000000e+01 7.005078e-01 1.500000e+00 1.000000e+01 -4.644843e-03 -2.081426e-03 
stepno=   70, timepoints=4.505600e+03, conv=0, iters=26, x=7.103078e-01 6.725293e-01 1.000000e+01 7.011524e-01 1.500000e+00 1.000000e+01 -4.644843e-03 -2.081364e-03 
stepno=   71, timepoints=4.576000e+03, conv=0, iters=26, x=7.103086e-01 6.725295e-01 1.000000e+01 7.017546e-01 1.500000e+00 1.000000e+01 -4.644843e-03 -2.081306e-03 
stepno=   72, timepoints=4.646400e+03, conv=1, iters=50, x=
stepno=   73, timepoints=4.584800e+03, conv=0, iters=16, x=7.103087e-01 6.725295e-01 1.000000e+01 7.018292e-01 1.500000e+00 1.000000e+01 -4.644846e-03 -2.081299e-03 
