stepno=   51, timepoints=1.663000e+03, conv=0, iters=45, x=1.770293e+00 -8.229709e+00 -1.177762e+00 1.463567e+00 1.463567e+00 3.907760e-01 3.907758e-01 1.386663e+00 1.386663e+00 1.028413e+01 8.222379e-01 1.051620e+01 1.200001e+01 1.200001e+01 -3.063080e-03 -3.005060e-03 -7.051947e-04 3.231317e-04 
stepno=   52, timepoints=1.791000e+03, conv=1, iters=50, x=
stepno=   53, timepoints=1.727000e+03, conv=0, iters=45, x=1.770489e+00 -8.229513e+00 -1.167305e+00 1.463679e+00 1.463678e+00 3.890495e-01 3.890492e-01 1.386851e+00 1.386851e+00 1.030973e+01 8.326948e-01 1.054230e+01 1.200001e+01 1.200001e+01 -3.056652e-03 -2.998508e-03 -7.062208e-04 3.236530e-04 
stepno=   54, timepoints=1.855000e+03, conv=1, iters=50, x=
stepno=   55, timepoints=1.791000e+03, conv=0, iters=45, x=1.770674e+00 -8.229327e+00 -1.158377e+00 1.463790e+00 1.463790e+00 3.874599e-01 3.874597e-01 1.387029e+00 1.387029e+00 1.033156e+01 8.416226e-01 1.056455e+01 1.200001e+01 1.200001e+01 -3.051166e-03 -2.992918e-03 -7.070951e-04 3.240971e-04 
stepno=   56, timepoints=1.919000e+03, conv=1, iters=50, x=
stepno=   57, timepoints=1.855000e+03, conv=0, iters=45, x=1.770843e+00 -8.229159e+00 -1.150757e+00 1.463895e+00 1.463895e+00 3.859965e-01 3.859963e-01 1.387192e+00 1.387192e+00 1.035018e+01 8.492421e-01 1.058352e+01 1.200001e+01 1.200001e+01 -3.046484e-03 -2.988148e-03 -7.078402e-04 3.244756e-04 
stepno=   58, timepoints=1.983000e+03, conv=1, iters=50, x=
stepno=   59, timepoints=1.919000e+03, conv=0, iters=45, x=1.770992e+00 -8.229009e+00 -1.144256e+00 1.463991e+00 1.463990e+00 3.846493e-01 3.846491e-01 1.387337e+00 1.387337e+00 1.036606e+01 8.557431e-01 1.059970e+01 1.200001e+01 1.200001e+01 -3.042491e-03 -2.984080e-03 -7.084753e-04 3.247981e-04 
stepno=   60, timepoints=2.047000e+03, conv=1, iters=50, x=
