stepno=    1, timepoints=1.000000e+00, conv=0, iters= 2, x=2.711089e-15 6.615951e-02 9.900990e-02 6.609276e-05 1.980198e-02 1.000000e+01 -1.851959e-02 
stepno=   77, timepoints=2.431000e+03, conv=0, iters=34, x=6.678372e-01 7.393936e-01 1.000001e+01 6.875636e-01 1.490072e+00 1.000001e+01 -7.875733e-03 
stepno=   78, timepoints=2.559000e+03, conv=1, iters=50, x=
stepno=   79, timepoints=2.495000e+03, conv=0, iters=34, x=6.678606e-01 7.394192e-01 1.000001e+01 6.902675e-01 1.490096e+00 1.000001e+01 -7.875712e-03 
stepno=   80, timepoints=2.623000e+03, conv=1, iters=50, x=
stepno=   81, timepoints=2.559000e+03, conv=0, iters=34, x=6.678826e-01 7.394432e-01 1.000001e+01 6.928087e-01 1.490119e+00 1.000001e+01 -7.875691e-03 
stepno=   82, timepoints=2.687000e+03, conv=1, iters=50, x=
stepno=   83, timepoints=2.623000e+03, conv=0, iters=34, x=6.679032e-01 7.394658e-01 1.000001e+01 6.951970e-01 1.490140e+00 1.000001e+01 -7.875672e-03 
stepno=   84, timepoints=2.751000e+03, conv=1, iters=50, x=
stepno=   85, timepoints=2.687000e+03, conv=0, iters=34, x=6.679227e-01 7.394870e-01 1.000001e+01 6.974416e-01 1.490160e+00 1.000001e+01 -7.875653e-03 
stepno=   86, timepoints=2.815000e+03, conv=1, iters=50, x=
stepno=   87, timepoints=2.751000e+03, conv=0, iters=34, x=6.679409e-01 7.395069e-01 1.000001e+01 6.995510e-01 1.490179e+00 1.000001e+01 -7.875636e-03 
stepno=   88, timepoints=2.879000e+03, conv=1, iters=50, x=
stepno=   89, timepoints=2.815000e+03, conv=0, iters=34, x=6.679581e-01 7.395256e-01 1.000001e+01 7.015335e-01 1.490197e+00 1.000001e+01 -7.875620e-03 
stepno=   90, timepoints=2.943000e+03, conv=1, iters=50, x=
stepno=   91, timepoints=2.879000e+03, conv=0, iters=34, x=6.679742e-01 7.395432e-01 1.000001e+01 7.033967e-01 1.490213e+00 1.000001e+01 -7.875605e-03 
stepno=   92, timepoints=3.007000e+03, conv=1, iters=50, x=
